week_end,race_eth,n_onedose,n_bivalent,n_2023,coverage_onedose,coverage_bivalent,coverage_2023
2021-07-17,Hispanic/Latino,222836,0,0,42.6,0,0
2021-07-17,Non-Hispanic Asian,122681,0,0,65.1,0,0
2021-07-17,Non-Hispanic Black,156475,0,0,42.3,0,0
2021-07-17,Non-Hispanic Other,141589,0,0,>90,0,0
2021-07-17,Non-Hispanic White,696723,0,0,61.1,0,0
2021-07-24,Hispanic/Latino,226571,0,0,43.3,0,0
2021-07-24,Non-Hispanic Asian,123406,0,0,65.5,0,0
2021-07-24,Non-Hispanic Black,159142,0,0,43.1,0,0
2021-07-24,Non-Hispanic Other,143664,0,0,>90,0,0
2021-07-24,Non-Hispanic White,701815,0,0,61.5,0,0
2021-07-31,Hispanic/Latino,230468,0,0,44.1,0,0
2021-07-31,Non-Hispanic Asian,124150,0,0,65.9,0,0
2021-07-31,Non-Hispanic Black,161887,0,0,43.8,0,0
2021-07-31,Non-Hispanic Other,145770,0,0,>90,0,0
2021-07-31,Non-Hispanic White,706666,0,0,61.9,0,0
2021-08-07,Hispanic/Latino,234879,0,0,44.9,0,0
2021-08-07,Non-Hispanic Asian,124844,0,0,66.3,0,0
2021-08-07,Non-Hispanic Black,164991,0,0,44.7,0,0
2021-08-07,Non-Hispanic Other,148282,0,0,>90,0,0
2021-08-07,Non-Hispanic White,712284,0,0,62.4,0,0
2021-08-14,Hispanic/Latino,238881,0,0,45.7,0,0
2021-08-14,Non-Hispanic Asian,125505,0,0,66.6,0,0
2021-08-14,Non-Hispanic Black,167763,0,0,45.4,0,0
2021-08-14,Non-Hispanic Other,150752,0,0,>90,0,0
2021-08-14,Non-Hispanic White,717144,0,0,62.9,0,0
2021-08-21,Hispanic/Latino,242415,0,0,46.3,0,0
2021-08-21,Non-Hispanic Asian,126087,0,0,66.9,0,0
2021-08-21,Non-Hispanic Black,170321,0,0,46.1,0,0
2021-08-21,Non-Hispanic Other,153077,0,0,>90,0,0
2021-08-21,Non-Hispanic White,722019,0,0,63.3,0,0
2021-08-28,Hispanic/Latino,245765,0,0,47,0,0
2021-08-28,Non-Hispanic Asian,126627,0,0,67.2,0,0
2021-08-28,Non-Hispanic Black,172778,0,0,46.8,0,0
2021-08-28,Non-Hispanic Other,155290,0,0,>90,0,0
2021-08-28,Non-Hispanic White,727095,0,0,63.7,0,0
2021-09-04,Hispanic/Latino,249106,0,0,47.6,0,0
2021-09-04,Non-Hispanic Asian,127170,0,0,67.5,0,0
2021-09-04,Non-Hispanic Black,175471,0,0,47.5,0,0
2021-09-04,Non-Hispanic Other,157646,0,0,>90,0,0
2021-09-04,Non-Hispanic White,732371,0,0,64.2,0,0
2021-09-11,Hispanic/Latino,251325,0,0,48,0,0
2021-09-11,Non-Hispanic Asian,127555,0,0,67.7,0,0
2021-09-11,Non-Hispanic Black,177497,0,0,48,0,0
2021-09-11,Non-Hispanic Other,159356,0,0,>90,0,0
2021-09-11,Non-Hispanic White,735878,0,0,64.5,0,0
2021-09-18,Hispanic/Latino,253482,0,0,48.5,0,0
2021-09-18,Non-Hispanic Asian,127917,0,0,67.9,0,0
2021-09-18,Non-Hispanic Black,179695,0,0,48.6,0,0
2021-09-18,Non-Hispanic Other,161028,0,0,>90,0,0
2021-09-18,Non-Hispanic White,739199,0,0,64.8,0,0
2021-09-25,Hispanic/Latino,255343,0,0,48.8,0,0
2021-09-25,Non-Hispanic Asian,128309,0,0,68.1,0,0
2021-09-25,Non-Hispanic Black,181531,0,0,49.1,0,0
2021-09-25,Non-Hispanic Other,162498,0,0,>90,0,0
2021-09-25,Non-Hispanic White,742498,0,0,65.1,0,0
2021-10-02,Hispanic/Latino,257247,0,0,49.2,0,0
2021-10-02,Non-Hispanic Asian,128990,0,0,68.5,0,0
2021-10-02,Non-Hispanic Black,183589,0,0,49.7,0,0
2021-10-02,Non-Hispanic Other,164156,0,0,>90,0,0
2021-10-02,Non-Hispanic White,746723,0,0,65.5,0,0
2021-10-09,Hispanic/Latino,259045,0,0,49.5,0,0
2021-10-09,Non-Hispanic Asian,129681,0,0,68.8,0,0
2021-10-09,Non-Hispanic Black,185621,0,0,50.2,0,0
2021-10-09,Non-Hispanic Other,165485,0,0,>90,0,0
2021-10-09,Non-Hispanic White,750679,0,0,65.8,0,0
2021-10-16,Hispanic/Latino,260614,0,0,49.8,0,0
2021-10-16,Non-Hispanic Asian,130357,0,0,69.2,0,0
2021-10-16,Non-Hispanic Black,187471,0,0,50.7,0,0
2021-10-16,Non-Hispanic Other,166724,0,0,>90,0,0
2021-10-16,Non-Hispanic White,754207,0,0,66.1,0,0
2021-10-23,Hispanic/Latino,262313,0,0,50.1,0,0
2021-10-23,Non-Hispanic Asian,130997,0,0,69.5,0,0
2021-10-23,Non-Hispanic Black,189087,0,0,51.2,0,0
2021-10-23,Non-Hispanic Other,168266,0,0,>90,0,0
2021-10-23,Non-Hispanic White,758218,0,0,66.5,0,0
2021-10-30,Hispanic/Latino,264124,0,0,50.5,0,0
2021-10-30,Non-Hispanic Asian,131962,0,0,70.1,0,0
2021-10-30,Non-Hispanic Black,191007,0,0,51.7,0,0
2021-10-30,Non-Hispanic Other,169438,0,0,>90,0,0
2021-10-30,Non-Hispanic White,764720,0,0,67,0,0
2021-11-06,Hispanic/Latino,266365,0,0,50.9,0,0
2021-11-06,Non-Hispanic Asian,133330,0,0,70.8,0,0
2021-11-06,Non-Hispanic Black,192903,0,0,52.2,0,0
2021-11-06,Non-Hispanic Other,170648,0,0,>90,0,0
2021-11-06,Non-Hispanic White,772119,0,0,67.7,0,0
