week_end,age_cat,n_onedose,n_2023,n_2024,coverage_onedose,coverage_2023,coverage_2024
2022-04-30,50-64,428189,0,0,>90,0,0
2022-04-30,65+,447246,0,0,>90,0,0
2022-05-07,0-17,233757,0,0,46.1,0,0
2022-05-07,18-29,289755,0,0,89,0,0
2022-05-07,30-49,512494,0,0,87.9,0,0
2022-05-07,50-64,428476,0,0,>90,0,0
2022-05-07,65+,447684,0,0,>90,0,0
2022-05-14,0-17,234128,0,0,46.2,0,0
2022-05-14,18-29,290064,0,0,89.1,0,0
2022-05-14,30-49,512829,0,0,87.9,0,0
2022-05-14,50-64,428863,0,0,>90,0,0
2022-05-14,65+,448288,0,0,>90,0,0
2022-05-21,0-17,234705,0,0,46.3,0,0
2022-05-21,18-29,290356,0,0,89.2,0,0
2022-05-21,30-49,513183,0,0,88,0,0
2022-05-21,50-64,429284,0,0,>90,0,0
2022-05-21,65+,448840,0,0,>90,0,0
2022-05-28,0-17,235435,0,0,46.5,0,0
2022-05-28,18-29,290664,0,0,89.3,0,0
2022-05-28,30-49,513514,0,0,88,0,0
2022-05-28,50-64,429694,0,0,>90,0,0
2022-05-28,65+,449446,0,0,>90,0,0
2022-06-04,0-17,235975,0,0,46.6,0,0
2022-06-04,18-29,290912,0,0,89.4,0,0
2022-06-04,30-49,513798,0,0,88.1,0,0
2022-06-04,50-64,430040,0,0,>90,0,0
2022-06-04,65+,449864,0,0,>90,0,0
2022-06-11,0-17,236548,0,0,46.7,0,0
2022-06-11,18-29,291211,0,0,89.5,0,0
2022-06-11,30-49,514081,0,0,88.1,0,0
2022-06-11,50-64,430318,0,0,>90,0,0
2022-06-11,65+,450224,0,0,>90,0,0
2022-06-18,0-17,237008,0,0,46.8,0,0
2022-06-18,18-29,291438,0,0,89.5,0,0
2022-06-18,30-49,514353,0,0,88.2,0,0
2022-06-18,50-64,430589,0,0,>90,0,0
2022-06-18,65+,450610,0,0,>90,0,0
2022-06-25,0-17,238504,0,0,47.1,0,0
2022-06-25,18-29,291669,0,0,89.6,0,0
2022-06-25,30-49,514607,0,0,88.2,0,0
2022-06-25,50-64,430859,0,0,>90,0,0
2022-06-25,65+,450995,0,0,>90,0,0
2022-07-02,0-17,240916,0,0,47.5,0,0
2022-07-02,18-29,291881,0,0,89.7,0,0
2022-07-02,30-49,514875,0,0,88.3,0,0
2022-07-02,50-64,431109,0,0,>90,0,0
2022-07-02,65+,451300,0,0,>90,0,0
2022-07-09,0-17,242828,0,0,47.9,0,0
2022-07-09,18-29,292105,0,0,89.7,0,0
2022-07-09,30-49,515109,0,0,88.3,0,0
2022-07-09,50-64,431363,0,0,>90,0,0
2022-07-09,65+,451501,0,0,>90,0,0
2022-07-16,0-17,244699,0,0,48.3,0,0
2022-07-16,18-29,292368,0,0,89.8,0,0
2022-07-16,30-49,515430,0,0,88.4,0,0
2022-07-16,50-64,431740,0,0,>90,0,0
2022-07-16,65+,451888,0,0,>90,0,0
2022-07-23,0-17,246668,0,0,48.7,0,0
2022-07-23,18-29,292596,0,0,89.9,0,0
2022-07-23,30-49,515687,0,0,88.4,0,0
2022-07-23,50-64,432096,0,0,>90,0,0
2022-07-23,65+,452324,0,0,>90,0,0
2022-07-30,0-17,248597,0,0,49.1,0,0
2022-07-30,18-29,292822,0,0,90,0,0
2022-07-30,30-49,515976,0,0,88.5,0,0
2022-07-30,50-64,432354,0,0,>90,0,0
2022-07-30,65+,452623,0,0,>90,0,0
2022-08-06,0-17,250480,0,0,49.4,0,0
2022-08-06,18-29,293062,0,0,90,0,0
2022-08-06,30-49,516240,0,0,88.5,0,0
2022-08-06,50-64,432574,0,0,>90,0,0
2022-08-06,65+,452872,0,0,>90,0,0
2022-08-13,0-17,252262,0,0,49.8,0,0
2022-08-13,18-29,293298,0,0,>90,0,0
2022-08-13,30-49,516477,0,0,88.5,0,0
2022-08-13,50-64,432766,0,0,>90,0,0
2022-08-13,65+,453045,0,0,>90,0,0
2022-08-20,0-17,253868,0,0,50.1,0,0
2022-08-20,18-29,293508,0,0,>90,0,0
2022-08-20,30-49,516679,0,0,88.6,0,0
2022-08-20,50-64,432909,0,0,>90,0,0
2022-08-20,65+,453220,0,0,>90,0,0
2022-08-27,0-17,255028,0,0,50.3,0,0
2022-08-27,18-29,293684,0,0,>90,0,0
2022-08-27,30-49,516888,0,0,88.6,0,0
2022-08-27,50-64,433068,0,0,>90,0,0
2022-08-27,65+,453413,0,0,>90,0,0
2022-09-03,0-17,255975,0,0,50.5,0,0
2022-09-03,18-29,293832,0,0,>90,0,0
2022-09-03,30-49,517053,0,0,88.6,0,0
2022-09-03,50-64,433194,0,0,>90,0,0
2022-09-03,65+,453533,0,0,>90,0,0
2022-09-10,0-17,256676,0,0,50.6,0,0
2022-09-10,18-29,294069,0,0,>90,0,0
2022-09-10,30-49,517662,0,0,88.7,0,0
2022-09-10,50-64,433500,0,0,>90,0,0
2022-09-10,65+,453961,0,0,>90,0,0
2022-09-17,0-17,257413,0,0,50.8,0,0
2022-09-17,18-29,294359,0,0,>90,0,0
2022-09-17,30-49,518477,0,0,88.9,0,0
2022-09-17,50-64,434001,0,0,>90,0,0
2022-09-17,65+,454633,0,0,>90,0,0
2022-09-24,0-17,258068,0,0,50.9,0,0
2022-09-24,18-29,294689,0,0,>90,0,0
2022-09-24,30-49,519268,0,0,89,0,0
2022-09-24,50-64,434538,0,0,>90,0,0
2022-09-24,65+,455541,0,0,>90,0,0
2022-10-01,0-17,258770,0,0,51.1,0,0
2022-10-01,18-29,295002,0,0,>90,0,0
2022-10-01,30-49,520122,0,0,89.2,0,0
2022-10-01,50-64,435158,0,0,>90,0,0
2022-10-01,65+,456707,0,0,>90,0,0
2022-10-08,0-17,259468,0,0,51.2,0,0
2022-10-08,18-29,295357,0,0,>90,0,0
2022-10-08,30-49,520991,0,0,89.3,0,0
2022-10-08,50-64,435800,0,0,>90,0,0
2022-10-08,65+,457748,0,0,>90,0,0
2022-10-15,0-17,260043,0,0,51.3,0,0
2022-10-15,18-29,295698,0,0,>90,0,0
2022-10-15,30-49,521903,0,0,89.5,0,0
2022-10-15,50-64,436453,0,0,>90,0,0
2022-10-15,65+,458820,0,0,>90,0,0
2022-10-22,0-17,260779,0,0,51.5,0,0
2022-10-22,18-29,296046,0,0,>90,0,0
2022-10-22,30-49,522790,0,0,89.6,0,0
2022-10-22,50-64,437097,0,0,>90,0,0
2022-10-22,65+,459889,0,0,>90,0,0
2022-10-29,0-17,261500,0,0,51.6,0,0
2022-10-29,18-29,296356,0,0,>90,0,0
2022-10-29,30-49,523677,0,0,89.8,0,0
2022-10-29,50-64,437778,0,0,>90,0,0
2022-10-29,65+,460834,0,0,>90,0,0
2022-11-05,0-17,262156,0,0,51.7,0,0
2022-11-05,18-29,296697,0,0,>90,0,0
2022-11-05,30-49,524442,0,0,89.9,0,0
2022-11-05,50-64,438373,0,0,>90,0,0
2022-11-05,65+,461621,0,0,>90,0,0
2022-11-12,0-17,262958,0,0,51.9,0,0
2022-11-12,18-29,297010,0,0,>90,0,0
2022-11-12,30-49,525195,0,0,90,0,0
2022-11-12,50-64,438844,0,0,>90,0,0
2022-11-12,65+,462246,0,0,>90,0,0
2022-11-19,0-17,263637,0,0,52,0,0
2022-11-19,18-29,297275,0,0,>90,0,0
2022-11-19,30-49,525831,0,0,>90,0,0
2022-11-19,50-64,439346,0,0,>90,0,0
2022-11-19,65+,462900,0,0,>90,0,0
2022-11-26,0-17,263979,0,0,52.1,0,0
2022-11-26,18-29,297416,0,0,>90,0,0
2022-11-26,30-49,525994,0,0,>90,0,0
2022-11-26,50-64,439480,0,0,>90,0,0
2022-11-26,65+,463093,0,0,>90,0,0
2022-12-03,0-17,264502,0,0,52.2,0,0
2022-12-03,18-29,297635,0,0,>90,0,0
2022-12-03,30-49,526490,0,0,>90,0,0
2022-12-03,50-64,439872,0,0,>90,0,0
2022-12-03,65+,463515,0,0,>90,0,0
2022-12-10,0-17,264972,0,0,52.3,0,0
2022-12-10,18-29,297906,0,0,>90,0,0
2022-12-10,30-49,527017,0,0,>90,0,0
2022-12-10,50-64,440222,0,0,>90,0,0
2022-12-10,65+,463914,0,0,>90,0,0
2022-12-17,0-17,265445,0,0,52.4,0,0
2022-12-17,18-29,298160,0,0,>90,0,0
2022-12-17,30-49,527494,0,0,>90,0,0
2022-12-17,50-64,440607,0,0,>90,0,0
2022-12-17,65+,464355,0,0,>90,0,0
2022-12-24,0-17,265805,0,0,52.4,0,0
2022-12-24,18-29,298424,0,0,>90,0,0
2022-12-24,30-49,527811,0,0,>90,0,0
2022-12-24,50-64,440911,0,0,>90,0,0
2022-12-24,65+,464611,0,0,>90,0,0
2022-12-31,0-17,266147,0,0,52.5,0,0
2022-12-31,18-29,298650,0,0,>90,0,0
2022-12-31,30-49,528162,0,0,>90,0,0
2022-12-31,50-64,441175,0,0,>90,0,0
2022-12-31,65+,464842,0,0,>90,0,0
2023-01-07,0-17,266520,0,0,52.6,0,0
2023-01-07,18-29,298857,0,0,>90,0,0
2023-01-07,30-49,528467,0,0,>90,0,0
2023-01-07,50-64,441415,0,0,>90,0,0
2023-01-07,65+,465054,0,0,>90,0,0
2023-01-14,0-17,266929,0,0,52.7,0,0
2023-01-14,18-29,299067,0,0,>90,0,0
2023-01-14,30-49,528755,0,0,>90,0,0
2023-01-14,50-64,441605,0,0,>90,0,0
2023-01-14,65+,465245,0,0,>90,0,0
2023-01-21,0-17,267214,0,0,52.7,0,0
2023-01-21,18-29,299198,0,0,>90,0,0
2023-01-21,30-49,528982,0,0,>90,0,0
